time,logger,level,message,exception
2012-06-08 09:39:13.8648,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3165650944
  PollingInterval     = 00:02:00",
2012-06-08 09:39:13.9828,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-06-08 09:39:16.8439,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Auto%2fSMSMessages%2fByMessageSentAndSendTimeSortBySendTime:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Auto_2fSMSMessages_2fByMessageSentAndSendTimeSortBySendTime : AbstractViewGenerator
{
	public Index_Auto_2fSMSMessages_2fByMessageSentAndSendTimeSortBySendTime()
	{
		this.ViewText = @""from doc in docs.SMSMessages
select new { MessageSent = doc.MessageSent, SendTime = doc.SendTime }
"";
		this.ForEntityNames.Add(""SMSMessages"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""SMSMessages""
			select new { MessageSent = doc.MessageSent, SendTime = doc.SendTime, __document_id = doc.__document_id });
		this.AddField(""MessageSent"");
		this.AddField(""SendTime"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""MessageSent"");
		this.AddQueryParameterForMap(""SendTime"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""MessageSent"");
		this.AddQueryParameterForReduce(""SendTime"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Auto_2fSMSMessages_2fByMessageSentAndSendTimeSortBySendTime : AbstractViewGenerator
{
	public Index_Auto_2fSMSMessages_2fByMessageSentAndSendTimeSortBySendTime()
	{
		this.ViewText = @""from doc in docs.SMSMessages
select new { MessageSent = doc.MessageSent, SendTime = doc.SendTime }
"";
		this.ForEntityNames.Add(""SMSMessages"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""SMSMessages""
			select new { MessageSent = doc.MessageSent, SendTime = doc.SendTime, __document_id = doc.__document_id });
		this.AddField(""MessageSent"");
		this.AddField(""SendTime"");
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""MessageSent"");
		this.AddQueryParameterForMap(""SendTime"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""MessageSent"");
		this.AddQueryParameterForReduce(""SendTime"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-06-08 09:39:17.0019,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-06-08 09:39:17.0229,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime,
2012-06-08 09:39:17.0939,Raven.Database.Indexing.IndexStorage.Startup,Warn,"Unclean shutdown detected on Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime, checking the index for errors. This may take a while.",
2012-06-08 09:39:17.4178,Raven.Database.Indexing.IndexStorage.Startup,Warn,"Checking index Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime took: 00:00:00.2661815, clean: True",
2012-06-08 09:39:17.5317,Raven.Database.Indexing.IndexStorage,Warn,"Segments file=segments_8 numSegments=7 version=FORMAT_DIAGNOSTICS [Lucene 2.9]
  1 of 7: name=_0 docCount=2
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    has deletions [delFileName=_0_1.del]
    test: open reader.........OK [1 deleted docs]
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [5 terms; 6 terms/docs pairs; 3 tokens]
    test: stored fields.......OK [1 total field count; avg 1.00 fields per doc]
    test: term vectors........OK [0 total vector count; avg 0.00 term/freq vector fields per doc]

  2 of 7: name=_1 docCount=1
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    has deletions [delFileName=_1_1.del]
    test: open reader.........OK [1 deleted docs]
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 0 tokens]
    test: stored fields.......OK [0 total field count; avg NaN fields per doc]
    test: term vectors........OK [0 total vector count; avg NaN term/freq vector fields per doc]

  3 of 7: name=_2 docCount=1
    compound=True
    hasProx=True
    numFiles=1
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    no deletions
    test: open reader.........OK
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 3 tokens]
    test: stored fields.......OK [1 total field count; avg 1.00 fields per doc]
    test: term vectors........OK [0 total vector count; avg 0.00 term/freq vector fields per doc]

  4 of 7: name=_3 docCount=1
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    has deletions [delFileName=_3_1.del]
    test: open reader.........OK [1 deleted docs]
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 0 tokens]
    test: stored fields.......OK [0 total field count; avg NaN fields per doc]
    test: term vectors........OK [0 total vector count; avg NaN term/freq vector fields per doc]

  5 of 7: name=_4 docCount=1
    compound=True
    hasProx=True
    numFiles=1
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    no deletions
    test: open reader.........OK
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 3 tokens]
    test: stored fields.......OK [1 total field count; avg 1.00 fields per doc]
    test: term vectors........OK [0 total vector count; avg 0.00 term/freq vector fields per doc]

  6 of 7: name=_5 docCount=1
    compound=True
    hasProx=True
    numFiles=2
    size (MB)=0.00
    diagnostics = {os=Windows_NT, lucene.version=2.9.4.1, source=flush, os.arch=AMD64, os.version=Microsoft Windows NT 6.1.7600.0, java.version=, java.vendor=}
    has deletions [delFileName=_5_1.del]
    test: open reader.........OK [1 deleted docs]
    test: fields..............OK [3 fields]
    test: field norms.........OK [0 fields]
    test: terms, freq, prox...OK [3 terms; 3 terms/docs pairs; 0 tokens]
    test: stored fields.......OK [0 total field count; avg NaN fie",
2012-06-08 09:39:17.5587,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Auto/SMSMessages/ByMessageSentAndSendTimeSortBySendTime,
2012-06-08 09:39:17.5807,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Raven/DocumentsByEntityName,
